logsID,date,map,length,numplayers,blu_score,red_score
2794464,2021-01-02,ultiduo_baloo,1119,4,0,2
2797223,2021-01-05,cp_process_final,1486,12,1,5
2797269,2021-01-05,cp_process_final,1784,12,2,1
2797313,2021-01-05,cp_metalworks,1173,10,0,5
2803975,2021-01-12,cp_process_final,730,13,0,5
2804017,2021-01-12,cp_snakewater_final1,1774,12,1,4
2804851,2021-01-13,cp_process_final,1435,12,0,5
2804896,2021-01-13,cp_gullywash_final1,1563,12,2,5
2804952,2021-01-13,cp_sunshine,1774,12,3,2
2805022,2021-01-13,cp_metalworks,1784,12,2,1
2805078,2021-01-13,cp_villa_b17a,1505,13,5,1
2805096,2021-01-13,cp_snakewater_final1,724,12,0,5
2805108,2021-01-13,cp_gullywash_final1,1054,12,5,0
2808468,2021-01-17,cp_snakewater_final1,1112,12,0,3
2808492,2021-01-17,cp_process_final,783,12,0,3
2808506,2021-01-17,koth_clearcut_b15c,481,12,0,2
2808571,2021-01-17,cp_metalworks,1427,12,5,0
2808598,2021-01-17,cp_sunshine,1783,12,1,2
2809465,2021-01-18,cp_gullywash_final1,1769,12,3,3
2809497,2021-01-18,cp_snakewater_final1,1774,12,2,3
2809541,2021-01-18,koth_product_rcx,1774,12,1,4
2811526,2021-01-20,cp_process_final,1739,13,3,5
2811582,2021-01-20,cp_gullywash_final1,885,12,1,5
2813268,2021-01-22,cp_metalworks,1787,12,2,1
2813287,2021-01-22,koth_lakeside_final,565,14,0,2
2813314,2021-01-22,cp_gullywash_final1,1518,12,5,0
2814183,2021-01-23,cp_process_final,811,12,5,0
2814220,2021-01-23,cp_snakewater_final1,1535,12,5,0
2814263,2021-01-23,cp_gullywash_final1,1360,12,5,2
2814308,2021-01-23,cp_sunshine,1000,12,5,0
2814318,2021-01-23,koth_product_rcx,580,12,0,2
2814336,2021-01-23,koth_clearcut_b15c,533,12,2,0
2814373,2021-01-23,koth_lakeside_final,1349,13,3,1
2814386,2021-01-23,cp_metalworks,1236,11,1,5
2815302,2021-01-24,cp_gullywash_final1,1778,12,1,3
2815339,2021-01-24,cp_process_final,1779,12,1,3
2817412,2021-01-26,cp_process_final,892,12,5,0
2817425,2021-01-26,cp_gullywash_final1,882,13,5,0
2817454,2021-01-26,cp_metalworks,1778,12,0,4
2818439,2021-01-27,cp_process_final,1779,13,2,2
2819458,2021-01-28,cp_process_final,1990,12,5,0
2819516,2021-01-28,cp_gullywash_final1,1213,13,1,5
2819541,2021-01-28,cp_snakewater_final1,1774,13,3,2
2820450,2021-01-29,cp_metalworks,1775,13,4,1
2821316,2021-01-30,cp_process_f7,515,12,0,5
2821356,2021-01-30,cp_snakewater_final1,1723,12,5,0
2824535,2021-02-02,koth_product_rcx,1635,8,2,3
2824601,2021-02-02,cp_sunshine,1728,12,3,4
